model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd3,fp8,30,6.5,0.6,CLIP-D,2.0,1.0,0.9187469184398651,0.9187469184398651,0.06287658214569085
sd3,fp8,30,6.5,0.6,NPR,2.0,0.0,,0.007809776812918176,0.09066903591156
sd3,fp8,30,6.5,0.6,R50_TF,2.0,0.0,,0.40135,0.1725
sd3,fp8,40,3.5,0.3,CLIP-D,2.0,0.5,0.9490694999694824,0.4765955575276166,0.06276571750640865
sd3,fp8,40,3.5,0.3,NPR,2.0,0.5,0.991007387638092,0.4955036938190461,0.09185421466827384
sd3,fp8,40,3.5,0.3,R50_TF,2.0,0.0,,0.40454999999999997,0.1725
sd3,fp8,40,3.5,0.45,CLIP-D,2.0,0.5,0.776448130607605,0.389673517900519,0.06122243404388425
sd3,fp8,40,3.5,0.45,NPR,2.0,0.5,0.9912009239196776,0.49560046195984403,0.0917904376983642
sd3,fp8,40,3.5,0.45,R50_TF,2.0,0.0,,0.39354999999999996,0.172
sd3,fp8,40,3.5,0.6,CLIP-D,2.0,0.5,0.9525746703147888,0.5525631457567215,0.06330347061157221
sd3,fp8,40,3.5,0.6,NPR,2.0,0.0,,0.012414503844117084,0.09316182136535645
sd3,fp8,40,3.5,0.6,R50_TF,2.0,0.0,,0.40449999999999997,0.172
sd3,fp8,40,5.0,0.3,CLIP-D,2.0,0.5,0.8220318555831909,0.4180835639126599,0.06301248073577881
sd3,fp8,40,5.0,0.3,NPR,2.0,0.5,0.9975221753120422,0.49876108765602134,0.0907962322235107
sd3,fp8,40,5.0,0.3,R50_TF,2.0,0.0,,0.4054,0.1775
sd3,fp8,40,5.0,0.45,CLIP-D,2.0,0.5,0.7286613583564758,0.3662281881552189,0.0647237300872802
sd3,fp8,40,5.0,0.45,NPR,2.0,0.5,0.9600468277931212,0.4800234138965631,0.09047329425811765
sd3,fp8,40,5.0,0.45,R50_TF,2.0,0.0,,0.39744999999999997,0.192
sd3,fp8,40,5.0,0.6,CLIP-D,2.0,1.0,0.6824007928371429,0.6824007928371429,0.062712550163269
sd3,fp8,40,5.0,0.6,NPR,2.0,0.0,,0.22875243425515104,0.09468567371368405
sd3,fp8,40,5.0,0.6,R50_TF,2.0,0.0,,0.4115,0.1795
sd3,fp8,40,6.5,0.3,CLIP-D,2.0,1.0,0.7794660925865173,0.7794660925865173,0.06272339820861815
sd3,fp8,40,6.5,0.3,NPR,2.0,0.5,0.9853165745735168,0.4926582872867584,0.09955215454101554
sd3,fp8,40,6.5,0.3,R50_TF,2.0,0.0,,0.40315,0.174
sd3,fp8,40,6.5,0.45,CLIP-D,2.0,0.0,,0.4227194339036941,0.06258356571197504
sd3,fp8,40,6.5,0.45,NPR,2.0,0.5,0.5403047800064087,0.27015239000320546,0.0889936685562133
sd3,fp8,40,6.5,0.45,R50_TF,2.0,0.0,,0.3973,0.1725
sd3,fp8,40,6.5,0.6,CLIP-D,2.0,0.5,0.5754237771034241,0.5364188402891159,0.0631599426269531
sd3,fp8,40,6.5,0.6,NPR,2.0,0.0,,0.08352752774962179,0.09263384342193601
sd3,fp8,40,6.5,0.6,R50_TF,2.0,0.0,,0.4091,0.16999999999999998
sd3,fp8,50,3.5,0.3,CLIP-D,2.0,0.5,0.8998126983642578,0.4523507738485932,0.0629115104675293
sd3,fp8,50,3.5,0.3,NPR,2.0,0.5,0.9336564540863036,0.46682822704315335,0.09811079502105705
sd3,fp8,50,3.5,0.3,R50_TF,2.0,0.0,,0.40269999999999995,0.1725
sd3,fp8,50,3.5,0.45,CLIP-D,2.0,0.5,0.5576664209365845,0.2847398123703897,0.0630271434783935
sd3,fp8,50,3.5,0.45,NPR,2.0,0.5,0.528587281703949,0.26429364085207024,0.08936882019042965
sd3,fp8,50,3.5,0.45,R50_TF,2.0,0.0,,0.39235,0.1735
sd3,fp8,50,3.5,0.6,CLIP-D,2.0,0.5,0.9541378021240234,0.5886801406741142,0.06125676631927485
sd3,fp8,50,3.5,0.6,NPR,2.0,0.0,,0.007288551913423278,0.09387838840484615
sd3,fp8,50,3.5,0.6,R50_TF,2.0,0.0,,0.3941,0.1685
sd3,fp8,50,5.0,0.3,CLIP-D,2.0,0.5,0.771021842956543,0.40836285799741745,0.0625003576278686
sd3,fp8,50,5.0,0.3,NPR,2.0,0.5,0.9867430925369264,0.4933715462684653,0.09227180480957026
sd3,fp8,50,5.0,0.3,R50_TF,2.0,0.0,,0.40395000000000003,0.172
sd3,fp8,50,5.0,0.45,CLIP-D,2.0,0.5,0.5646370053291321,0.28391040791757405,0.10686385631561277
sd3,fp8,50,5.0,0.45,NPR,2.0,0.0,,0.20548781752605574,0.09067988395690915
sd3,fp8,50,5.0,0.45,R50_TF,2.0,0.0,,0.38744999999999996,0.174
sd3,fp8,50,5.0,0.6,CLIP-D,2.0,0.5,0.9511488676071168,0.6424941867589951,0.06227576732635495
sd3,fp8,50,5.0,0.6,NPR,2.0,0.0,,0.0802745521173979,0.0918124914169311
sd3,fp8,50,5.0,0.6,R50_TF,2.0,0.0,,0.39744999999999997,0.175
sd3,fp8,50,6.5,0.3,CLIP-D,2.0,0.5,0.8947471380233765,0.45631512720137835,0.06465029716491694
sd3,fp8,50,6.5,0.3,NPR,2.0,0.5,0.9963415265083312,0.4981707632541666,0.08833050727844236
sd3,fp8,50,6.5,0.3,R50_TF,2.0,0.0,,0.40195000000000003,0.1725
sd3,fp8,50,6.5,0.45,CLIP-D,2.0,0.5,0.6993920803070068,0.36703813076019287,0.0615261793136596
sd3,fp8,50,6.5,0.45,NPR,2.0,0.0,,0.1139343976974643,0.08859765529632566
sd3,fp8,50,6.5,0.45,R50_TF,2.0,0.0,,0.38925,0.17
sd3,fp8,50,6.5,0.6,CLIP-D,2.0,1.0,0.768600732088089,0.768600732088089,0.06203520298004145
sd3,fp8,50,6.5,0.6,NPR,2.0,0.0,,0.00985625107173235,0.09552729129791254
sd3,fp8,50,6.5,0.6,R50_TF,2.0,0.0,,0.3988,0.186
sd35,fp16,30,3.5,0.3,CLIP-D,2.0,0.5,0.830779492855072,0.42567113507539034,0.06137061119079585
sd35,fp16,30,3.5,0.3,NPR,2.0,0.5,0.9999690055847168,0.49998450279235845,0.08992660045623775
sd35,fp16,30,3.5,0.3,R50_TF,2.0,0.0,,0.40495000000000003,0.16849999999999998
